Ano;Região;UF;Município;Código Município IBGE;CNPJ Município/SEDUC;Nome Escola;Código Escola;Rede Atendimento;Quantidade Alunos;CNPJ Executora;Nome Executora;Programa;Destinação;Valor Custeio;Valor Capital;Valor Total;Data da Ord. de Pagamento
2019;NORTE;AC;MARECHAL THAUMATURGO;1200351;'84306463000176;ESC LAIRE E SILVA;12002780;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;17;'03298433000163;CONSELHO ESCOLAR CASTRO ALVES;PDDE EQUIDADE;PDDE Água 2019;20000;5000;25000;20/12/2019
2019;NORTE;AC;MARECHAL THAUMATURGO;1200351;'84306463000176;ESC ULISSES GUIMARAES;12002941;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;20;'11287832000157;CONSELHO ESCOLAR PARTICIPACAO CIDADA NA ESCOLA;PDDE EQUIDADE;PDDE Água 2019;20000;5000;25000;20/12/2019
2019;NORTE;AC;PORTO WALTER;1200393;'63603625000168;ESC ADOZINDA DO VALE VIEIRA;12002984;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;107;'03507611000119;CONSELHO ESCOLAR ADOZINDA DO VALE VIEIRA;PDDE EQUIDADE;PDDE Água 2019;22400;5600;28000;20/12/2019
2019;NORTE;AC;PORTO WALTER;1200393;'63603625000168;ESC ALFREDO SALES;12003000;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;105;'03512917000163;CONSELHO ESCOLAR ALFREDO SALES;PDDE EQUIDADE;PDDE Água 2019;22400;5600;28000;17/12/2019
2019;NORTE;AC;PORTO WALTER;1200393;'63603625000168;ESC CHATCAUBRIAND BEZERRA;12003077;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;53;'03497402000131;CONSELHO ESCOLAR CHATEAUBRIAND BEZERRA;PDDE EQUIDADE;PDDE Água 2019;22400;5600;28000;20/12/2019
2019;NORTE;AC;PORTO WALTER;1200393;'63603625000168;ESC GABRIEL ARCANJO DO NASCIMENTO II;12003166;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;97;'03532308000176;CONSELHO ESCOLAR GABRIEL ARCANJO DO NASCIMENTO II;PDDE EQUIDADE;PDDE Água 2019;22400;5600;28000;20/12/2019
2019;NORTE;AC;PORTO WALTER;1200393;'63603625000168;ESC OTONIEL DE SOUZA;12003417;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;117;'11216886000121;CONSELHO ESCOLAR OTONIEL DE SOUZA;PDDE EQUIDADE;PDDE Água 2019;22400;5600;28000;20/12/2019
2019;NORTE;AC;PORTO WALTER;1200393;'63603625000168;ESC SAO JOSE;12003506;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;89;'03534342000180;CONSELHO ESCOLAR SAO JOSE;PDDE EQUIDADE;PDDE Água 2019;22400;5600;28000;20/12/2019
2019;NORTE;AC;FEIJO;1200302;'04033254000167;ESC FRANCISCO WLISSES DE MEDEIROS;12004413;ADMINISTRAÇÃO PÚBLICA ESTADUAL;130;'11657299000178;COMITE EXECUTIVO CONSORCIO FRANCISCO WLISSES DE MEDEIROS;PDDE EQUIDADE;PDDE Água 2019;22400;5600;28000;20/12/2019
2019;NORTE;AC;FEIJO;1200302;'04033254000167;ESC SANTO ANTONIO I;12004847;ADMINISTRAÇÃO PÚBLICA ESTADUAL;1000;'11657266000128;COMITE EXECUTIVO SANTO ANTONIO I;PDDE EQUIDADE;PDDE Água 2019;25600;5400;31000;20/12/2019
2019;NORTE;AC;FEIJO;1200302;'04033254000167;ESC VICENCIA DE OLIVEIRA;12005029;ADMINISTRAÇÃO PÚBLICA ESTADUAL;367;'11657332000160;COMITE EXECUTIVO CONSORCIO VICENCIA DE OLIVEIRA;PDDE EQUIDADE;Acessibilidade 2019;9600;2400;12000;11/09/2019
2019;NORTE;AC;TARAUACA;1200609;'34693564000179;ESC EDUARDO DOS SANTOS MORAIS;12005797;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;91;'05729913000167;CONSELHO ESCOLAR EDUARDO DOS SANTOS MORAIS;PDDE EQUIDADE;PDDE Água 2019;22400;5600;28000;13/12/2019
2019;NORTE;AC;SENA MADUREIRA;1200500;'04033254000167;ESC COMUNITARIA II;12007536;ADMINISTRAÇÃO PÚBLICA ESTADUAL;327;'08029859000135;COMITE EXECUTIVO COMUNITARIA II;PDDE EQUIDADE;Acessibilidade 2019;9600;2400;12000;20/10/2021
2019;NORTE;AC;SENA MADUREIRA;1200500;'04033254000167;ESC FONTENELE DE CASTRO;12007757;ADMINISTRAÇÃO PÚBLICA ESTADUAL;599;'01193692000102;COMITE EXECUTIVO FONTENELE DE CASTRO;PDDE EQUIDADE;Acessibilidade 2019;12000;3000;15000;20/08/2019
2019;NORTE;AC;PORTO ACRE;1200807;'04033254000167;ESC SAO RAIMUNDO NONATO;12014036;ADMINISTRAÇÃO PÚBLICA ESTADUAL;282;'05751002000136;COMITE EXECUTIVO SAO RAIMUNDO NONATO;PDDE EQUIDADE;Acessibilidade 2019;9600;2400;12000;11/09/2019
2019;NORTE;AC;SENADOR GUIOMARD;1200450;'04033254000167;ESC SANTO IZIDORO;12014605;ADMINISTRAÇÃO PÚBLICA ESTADUAL;571;'01193725000106;COMITE EXECUTIVO SANTO IZIDORO;PDDE EQUIDADE;Acessibilidade 2019;12000;3000;15000;20/08/2019
2019;NORTE;AC;BRASILEIA;1200104;'04508933000145;ESC INFANTIL OS PASTORINHOS;12017000;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;250;'02986577000140;CONSELHO ESCOLAR OS PASTORINHOS;PDDE EQUIDADE;Acessibilidade 2019;9600;2400;12000;03/09/2019
2019;NORTE;AC;MARECHAL THAUMATURGO;1200351;'84306463000176;ESC HORACIO PAIVA DE ALMEIDA;12020168;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;22;'03298430000120;CONSELHO VINTE QUATRO DE JANEIRO;PDDE EQUIDADE;PDDE Água 2019;20000;5000;25000;05/12/2019
2019;NORTE;AC;MARECHAL THAUMATURGO;1200351;'84306463000176;ESC AGNALDO SALES;12021024;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;31;'11287806000129;CONSELHO ESCOLAR EDUCACAO E ESCOLARIZACAO;PDDE EQUIDADE;PDDE Água 2019;20000;5000;25000;17/12/2019
2019;NORTE;AC;MARECHAL THAUMATURGO;1200351;'84306463000176;ESC INDIGENA CRISPIM JAMINAWA;12021857;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;25;'03307086000198;CONSELHO ESCOLAR CICERO RIBEIRO;PDDE EQUIDADE;PDDE Água 2019;20000;5000;25000;20/12/2019
2019;NORTE;AC;MARECHAL THAUMATURGO;1200351;'84306463000176;ESC INDIGENA ASHANINKA;12021865;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;55;'11287858000103;CONSELHO ESCOLAR EDUCACAO DESAFIO PARTICIPATIVO;PDDE EQUIDADE;PDDE Água 2019;22400;5600;28000;05/12/2019
2019;NORTE;AC;MARECHAL THAUMATURGO;1200351;'84306463000176;ESC RAIMUNDO FERREIRA LIMA;12023019;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;32;'11287819000106;CONSELHO ESCOLAR EDUCACAO E DISCIPLINA;PDDE EQUIDADE;PDDE Água 2019;20000;5000;25000;20/12/2019
2019;NORTE;AC;FEIJO;1200302;'04033254000167;ESC CARLOS VENIZIO NUNES DAMASCENO;12023710;ADMINISTRAÇÃO PÚBLICA ESTADUAL;96;'11657299000178;COMITE EXECUTIVO CONSORCIO FRANCISCO WLISSES DE MEDEIROS;PDDE EQUIDADE;PDDE Água 2019;22400;5600;28000;20/12/2019
2019;NORTE;AC;PLACIDO DE CASTRO;1200385;'04033254000167;ESC JOAO RICARDO DE FREITAS;12023779;ADMINISTRAÇÃO PÚBLICA ESTADUAL;480;'04516010000135;COMITE EXECUTIVO JOAO RICARDO DE FREITAS;PDDE EQUIDADE;Acessibilidade 2019;9600;2400;12000;20/08/2019
2019;NORTE;AC;MARECHAL THAUMATURGO;1200351;'84306463000176;ESC RAIMUNDO BEZERRA FROTA;12026360;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;74;'11295743000152;CONSELHO ESCOLAR EDUCACAO EM BUSCA DO SER;PDDE EQUIDADE;PDDE Água 2019;22400;5600;28000;05/12/2019
2019;NORTE;AC;MARECHAL THAUMATURGO;1200351;'84306463000176;ESC PRE CRIANCA FELIZ;12029335;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;45;'11295586000185;CONSELHO EDUCACAO RESPONSABILIDADE E CIDADANIA;PDDE EQUIDADE;PDDE Água 2019;20000;5000;25000;17/12/2019
2019;NORTE;AC;MANCIO LIMA;1200336;'04059671000189;ESC INFANTIL MONTEIRO LOBATO;12031364;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;176;'17020877000147;CONSELHO ESCOLAR PROF OLINDA CORDEIRO DOS SANTOS ROCHA;PDDE EQUIDADE;Acessibilidade 2019;7968;1992;9960;20/08/2019
2019;NORTE;AC;RODRIGUES ALVES;1200427;'04033254000167;OSCAR PONCIANO;12032247;ADMINISTRAÇÃO PÚBLICA ESTADUAL;304;'30948664000148;COMITE EXECUTIVO OSCAR PONCIANO;PDDE EQUIDADE;PDDE Água 2019;25600;5400;31000;05/12/2019
2019;NORTE;AC;RODRIGUES ALVES;1200427;'04033254000167;ESC TESCON DA SILVA MELO;12032310;ADMINISTRAÇÃO PÚBLICA ESTADUAL;161;'26240148000197;COMITE EXECUTIVO TESCON DA SILVA MELO;PDDE EQUIDADE;PDDE Água 2019;25600;5400;31000;05/12/2019
2019;NORTE;AC;RIO BRANCO;1200401;'04033254000167;ESC COLEGIO MILITAR TIRADENTES;12033359;ADMINISTRAÇÃO PÚBLICA ESTADUAL;559;'32832576000101;COMITE EXECUTIVO TIRADENTES;PDDE EQUIDADE;Acessibilidade 2019;12000;3000;15000;20/12/2019
2019;NORTE;AC;RIO BRANCO;1200401;'04033254000167;ESC COLEGIO MILITAR DOM PEDRO II;12033367;ADMINISTRAÇÃO PÚBLICA ESTADUAL;549;'33360393000101;COMITE EXECUTIVO DOM PEDRO II;PDDE EQUIDADE;Acessibilidade 2019;12000;3000;15000;20/12/2019
2019;NORTE;AC;MARECHAL THAUMATURGO;1200351;'84306463000176;ESC INDIGENA SHAWA KANA;12090220;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;33;'03307086000198;CONSELHO ESCOLAR CICERO RIBEIRO;PDDE EQUIDADE;PDDE Água 2019;20000;5000;25000;20/12/2019
2019;NORTE;AC;CRUZEIRO DO SUL;1200203;'04033254000167;ESC INDIGENA TAMAKAYA;12097225;ADMINISTRAÇÃO PÚBLICA ESTADUAL;153;'14298443000115;COMITE EXECUTIVO TAMAKAYA;PDDE EQUIDADE;Acessibilidade 2019;7968;1992;9960;20/08/2019
2020;NORTE;AC;CRUZEIRO DO SUL;1200203;'04033254000167;ESC DOM PEDRO I;12000507;ADMINISTRAÇÃO PÚBLICA ESTADUAL;20;'03321391000134;COMITE EXECUTIVO CONSORCIO JOSE DE ALENCAR;PDDE EQUIDADE;Acessibilidade 2019;7968;1992;9960;31/03/2020
2020;NORTE;AC;CRUZEIRO DO SUL;1200203;'04033254000167;ESC JOAQUIM NOGUEIRA;12000779;ADMINISTRAÇÃO PÚBLICA ESTADUAL;176;'11489623000196;COMITE EXECUTIVO JOAQUIM NOGUEIRA;PDDE EQUIDADE;Acessibilidade 2019;7968;1992;9960;17/04/2020
2020;NORTE;AC;CRUZEIRO DO SUL;1200203;'04033254000167;ESC JOSE DE ALENCAR;12000787;ADMINISTRAÇÃO PÚBLICA ESTADUAL;19;'03321391000134;COMITE EXECUTIVO CONSORCIO JOSE DE ALENCAR;PDDE EQUIDADE;Acessibilidade 2019;7968;1992;9960;31/03/2020
2020;NORTE;AC;MANCIO LIMA;1200336;'04059671000189;ESC 15 DE JUNHO;12001848;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;25;'03339689000171;CONSELHO ESCOLAR PARANA TIMBAUBA;PDDE EQUIDADE;Água 2019;20000;5000;25000;09/10/2020
2020;NORTE;AC;MANCIO LIMA;1200336;'04059671000189;ESC ESTEVAO BERNARDO DE SOUZA;12001996;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;7;'03162389000160;CONSELHO ESCOLAR JOAQUIM MOREIRA;PDDE EQUIDADE;Água 2019;20000;5000;25000;09/10/2020
2020;NORTE;AC;MANCIO LIMA;1200336;'04059671000189;ESC FRANCISCO MILITAO DE MELO;12002003;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;25;'07515148000108;CONSELHO ESCOLAR LUTAS E CONQUISTAS;PDDE EQUIDADE;Água 2019;20000;5000;25000;09/10/2020
2020;NORTE;AC;MANCIO LIMA;1200336;'04033254000167;ESC INDIGENA PEDRO ANTONIO DE OLIVEIRA;12002275;ADMINISTRAÇÃO PÚBLICA ESTADUAL;149;'03013246000196;COMITE EXECUTIVO PEDRO ANTONIO DE OLIVEIRA;PDDE EQUIDADE;Acessibilidade 2019;7968;1992;9960;27/03/2020
2020;NORTE;AC;MANCIO LIMA;1200336;'04059671000189;ESC SABINO TOMAS DA ROCHA;12002313;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;17;'03165340000160;CONSELHO ESCOLAR RUBENS SABINO DA ROCHA;PDDE EQUIDADE;Água 2019;20000;5000;25000;09/10/2020
2020;NORTE;AC;PORTO WALTER;1200393;'63603625000168;ESC NOSSA SENHORA APARECIDA;12003360;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;36;'03470097000194;CONSELHO ESCOLAR NOSSA SENHORA APARECIDA;PDDE EQUIDADE;Água 2019;20000;5000;25000;09/10/2020
2020;NORTE;AC;TARAUACA;1200609;'04033254000167;ESC 15 DE JUNHO;12005398;ADMINISTRAÇÃO PÚBLICA ESTADUAL;321;'11396227000114;COMITE EXECUTIVO CONSORCIO AURORA;PDDE EQUIDADE;Acessibilidade 2019;9600;2400;12000;11/09/2020
2020;NORTE;AC;TARAUACA;1200609;'04033254000167;ESC INDIGENA ESTIRAO DO CAUCHO I;12005827;ADMINISTRAÇÃO PÚBLICA ESTADUAL;302;'05805914000143;COMITE EXECUTIVO ESTIRAO DO CAUCHO;PDDE EQUIDADE;Acessibilidade 2019;9600;2400;12000;06/11/2020
2020;NORTE;AC;TARAUACA;1200609;'04033254000167;ESC JOAO PAULO II SEDE;12005886;ADMINISTRAÇÃO PÚBLICA ESTADUAL;23;'07486983000167;COMITE EXECUTIVO JOAO PAULO;PDDE EQUIDADE;Acessibilidade 2019;7968;1992;9960;06/11/2020
2020;NORTE;AC;TARAUACA;1200609;'04033254000167;ESC JOAQUIM NABUCO;12005908;ADMINISTRAÇÃO PÚBLICA ESTADUAL;180;'11396164000104;COMITE EXECUTIVO CONSORCIO VITORIA;PDDE EQUIDADE;Acessibilidade 2019;7968;1992;9960;06/11/2020
2020;NORTE;AC;TARAUACA;1200609;'04033254000167;ESC MARIA DE LOURDES ALBUQUERQUE DOS SANTOS;12006076;ADMINISTRAÇÃO PÚBLICA ESTADUAL;102;'11396164000104;COMITE EXECUTIVO CONSORCIO VITORIA;PDDE EQUIDADE;Acessibilidade 2019;7968;1992;9960;06/11/2020
2020;NORTE;AC;BUJARI;1200138;'04033254000167;ESC MAPINGUARI;12009490;ADMINISTRAÇÃO PÚBLICA ESTADUAL;25;'12013301000139;COMITE EXECUTIVO CONSORCIO BAIXO ANTIMARY;PDDE EQUIDADE;Acessibilidade 2019;7968;1992;9960;15/04/2020
2020;NORTE;AC;BUJARI;1200138;'04033254000167;ESC PEDRO GOMES DE LIMA;12009555;ADMINISTRAÇÃO PÚBLICA ESTADUAL;175;'20112337000106;COMITE EXECUTIVO CONSORCIO SAO PEDRO;PDDE EQUIDADE;Acessibilidade 2019;7968;1992;9960;15/04/2020
2020;NORTE;AC;BUJARI;1200138;'04033254000167;ESC NOSSA SENHORA DA ESPERANCA;12009687;ADMINISTRAÇÃO PÚBLICA ESTADUAL;87;'12013248000176;COMITE EXECUTIVO CONSORCIO ARCO-IRIS;PDDE EQUIDADE;Acessibilidade 2019;7968;1992;9960;15/04/2020
2020;NORTE;AC;SENADOR GUIOMARD;1200450;'04033254000167;ESC BOM DESTINO;12009997;ADMINISTRAÇÃO PÚBLICA ESTADUAL;210;'09047558000105;COMITE EXECUTIVO BOM DESTINO;PDDE EQUIDADE;Acessibilidade 2019;9600;2400;12000;06/11/2020
2020;NORTE;AC;PLACIDO DE CASTRO;1200385;'04033254000167;ESC MANOEL BARROS;12010391;ADMINISTRAÇÃO PÚBLICA ESTADUAL;157;'03587267000115;COMITE EXECUTIVO MANOEL BARROS;PDDE EQUIDADE;Acessibilidade 2019;7968;1992;9960;27/03/2020
2020;NORTE;AC;RIO BRANCO;1200401;'04033254000167;ESC ADOLFO BARBOSA LEITE;12011045;ADMINISTRAÇÃO PÚBLICA ESTADUAL;28;'01191004000167;COMITE EXECUTIVO ADOLFO BARBOSA LEITE;PDDE EQUIDADE;Acessibilidade 2019;7968;1992;9960;27/03/2020
2020;NORTE;AC;RIO BRANCO;1200401;'04033254000167;ESC MAJOR JOAO CANCIO;12012823;ADMINISTRAÇÃO PÚBLICA ESTADUAL;293;'03361934000147;COMITE EXECUTIVO MAJOR JOAO CANCIO;PDDE EQUIDADE;Acessibilidade 2019;9600;2400;12000;31/08/2020
2020;NORTE;AC;RIO BRANCO;1200401;'04033254000167;ESC PRESBITERIANA JOAO CALVINO;12013340;ADMINISTRAÇÃO PÚBLICA ESTADUAL;801;'31083924000122;COMITE EXECUTIVO JOAO CALVINO;PDDE EQUIDADE;Acessibilidade 2019;12000;3000;15000;22/05/2020
2020;NORTE;AC;SENADOR GUIOMARD;1200450;'04033254000167;ESC MARIA JOSE BEZERRA DOS REIS;12014770;ADMINISTRAÇÃO PÚBLICA ESTADUAL;108;'01187511000127;COMITE EXECUTIVO MARIA JOSE BEZERRA DOS REIS;PDDE EQUIDADE;Acessibilidade 2019;7968;1992;9960;12/06/2020
2020;NORTE;AC;SENADOR GUIOMARD;1200450;'04033254000167;ESC PADRE CARLOS CASAVEQUIA;12014877;ADMINISTRAÇÃO PÚBLICA ESTADUAL;179;'00670682000140;COMITE EXECUTIVO PE CARLOS CASAVECHIA;PDDE EQUIDADE;Acessibilidade 2019;7968;1992;9960;12/06/2020
2020;NORTE;AC;SENADOR GUIOMARD;1200450;'04033254000167;ESC RAIMUNDO HERMINIO DE MELO II;12015008;ADMINISTRAÇÃO PÚBLICA ESTADUAL;155;'03179888000160;COMITE EXECUTIVO RAIMUNDO HERMINIO DE MELO II;PDDE EQUIDADE;Acessibilidade 2019;7968;1992;9960;22/06/2020
2020;NORTE;AC;SENADOR GUIOMARD;1200450;'04033254000167;ESC TUFI ASMAR;12015172;ADMINISTRAÇÃO PÚBLICA ESTADUAL;158;'03553215000128;COMITE EXECUTIVO TUFI ASSMAR;PDDE EQUIDADE;Acessibilidade 2019;7968;1992;9960;27/03/2020
2020;NORTE;AC;SENA MADUREIRA;1200500;'04513362000137;ESC SAO BENTO;12018732;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;35;'22761462000164;CONSELHO ESCOLAR DA E M E F R SAO BENTO II;PDDE EQUIDADE;Água 2019;20000;5000;25000;09/10/2020
2020;NORTE;AC;PLACIDO DE CASTRO;1200385;'04033254000167;ESC ANTONIA DOS REIS AZEVEDO;12019178;ADMINISTRAÇÃO PÚBLICA ESTADUAL;67;'07850547000125;COMITE EXECUTIVO ANTONIA DOS REIS AZEVEDO;PDDE EQUIDADE;Acessibilidade 2019;7968;1992;9960;31/03/2020
2020;NORTE;AC;XAPURI;1200708;'04033254000167;ESC BARBARA VIEIRA DE SANTANA;12019488;ADMINISTRAÇÃO PÚBLICA ESTADUAL;88;'11491882000151;COMITE EXECUTIVO CONSORCIO BARBARA VIEIRA DE SANTANA;PDDE EQUIDADE;Acessibilidade 2019;7968;1992;9960;06/11/2020
2020;NORTE;AC;MANCIO LIMA;1200336;'04059671000189;ESC ANTONIO BORGES DA SILVA;12020443;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;19;'03041742000153;CONSELHO ESCOLAR ANTONIO BORGES DA SILVA;PDDE EQUIDADE;Água 2019;20000;5000;25000;09/10/2020
2020;NORTE;AC;BUJARI;1200138;'04033254000167;ESC NOVA VIDA;12020680;ADMINISTRAÇÃO PÚBLICA ESTADUAL;303;'08835314000116;COMITE EXECUTIVO NOVA VIDA;PDDE EQUIDADE;Acessibilidade 2019;9600;2400;12000;31/03/2020
2020;NORTE;AC;BUJARI;1200138;'04033254000167;ESC NOVA VIDA;12020680;ADMINISTRAÇÃO PÚBLICA ESTADUAL;303;'08835314000116;COMITE EXECUTIVO NOVA VIDA;PDDE EQUIDADE;Água 2019;25600;6400;32000;09/10/2020
2020;NORTE;AC;MANCIO LIMA;1200336;'04059671000189;ESC SAO PEDRO;12021156;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;11;'03162389000160;CONSELHO ESCOLAR JOAQUIM MOREIRA;PDDE EQUIDADE;Água 2019;20000;5000;25000;09/10/2020
2020;NORTE;AC;RIO BRANCO;1200401;'04033254000167;ESC CLAUDIO AUGUSTO FERREIRA DE SALES;12021245;ADMINISTRAÇÃO PÚBLICA ESTADUAL;148;'03543961000130;COMITE EXECUTIVO CLAUDIO AUGUSTO FERREIRA DE SALES;PDDE EQUIDADE;Acessibilidade 2019;7968;1992;9960;27/03/2020
2020;NORTE;AC;PORTO ACRE;1200807;'84306661000130;ESC SANTA BARBARA;12026255;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;8;'11652893000176;CONSELHO ESCOLAR CONSORCIO UNIDOS PARA VENCER;PDDE EQUIDADE;Água 2019;20000;5000;25000;09/10/2020
2020;NORTE;AC;RODRIGUES ALVES;1200427;'04033254000167;ESC MARIA LIZETE MOURA DE OLIVEIRA;12027669;ADMINISTRAÇÃO PÚBLICA ESTADUAL;191;'20330438000145;COMITE EXECUTIVO MARIA LIZETE DE OLIVEIRA MOURA;PDDE EQUIDADE;Acessibilidade 2019;7968;1992;9960;31/03/2020
2020;NORTE;AC;CRUZEIRO DO SUL;1200203;'04012548000102;ESC VERISSIMO DE PAULA;12027944;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;52;'26031598000170;CONSELHO ESCOLAR VERISSIMO DE PAULA;PDDE EQUIDADE;Água 2019;22400;5600;28000;09/10/2020
2020;NORTE;AC;RODRIGUES ALVES;1200427;'04033254000167;ESC MANOEL CARNEIRO DE MESSIAS;12028479;ADMINISTRAÇÃO PÚBLICA ESTADUAL;223;'07922351000107;COMITE EXECUTIVO MANOEL CARNEIRO DE MESSIAS;PDDE EQUIDADE;Acessibilidade 2019;9600;2400;12000;27/04/2020
2020;NORTE;AC;EPITACIOLANDIA;1200252;'84306588000104;ESC ALCINO MONTEIRO DE OLIVEIRA;12028584;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;69;'32891437000159;CONS ESCOLAR DE PAIS E MESTRES DA ESCOLA DE EF ALCINO MONTE;PDDE EQUIDADE;Água 2019;22400;5600;28000;09/10/2020
2020;NORTE;AC;TARAUACA;1200609;'04033254000167;ESC FRANCISCO NAPOLEAO DE ARAUJO;12031755;ADMINISTRAÇÃO PÚBLICA ESTADUAL;342;'19874634000100;COMITE EXECUTIVO FRANCISCO NAPOLEAO DE ARAUJO;PDDE EQUIDADE;Acessibilidade 2019;9600;2400;12000;25/09/2020
2020;NORTE;AC;CRUZEIRO DO SUL;1200203;'04033254000167;ESC SAO RAIMUNDO;12031810;ADMINISTRAÇÃO PÚBLICA ESTADUAL;25;'27311176000110;COMITE EXECUTIVO CONSORCIO SAO FRANCISCO;PDDE EQUIDADE;Acessibilidade 2019;7968;1992;9960;31/03/2020
2020;NORTE;AC;RODRIGUES ALVES;1200427;'04033254000167;OSCAR PONCIANO;12032247;ADMINISTRAÇÃO PÚBLICA ESTADUAL;165;'30948664000148;COMITE EXECUTIVO OSCAR PONCIANO;PDDE EQUIDADE;Acessibilidade 2019;7968;1992;9960;27/03/2020
